"","GID_0","NAME_0","GID_1","NAME_1","NL_NAME_1","GID_2","NAME_2","VARNAME_2","NL_NAME_2","TYPE_2","ENGTYPE_2","CC_2","HASC_2"
"122","GBR","United Kingdom","GBR.2_1","Northern Ireland",NA,"GBR.2.2_1","Armagh, Banbridge and Craigavon",NA,NA,"District","District",NA,"GB.AC"
"123","GBR","United Kingdom","GBR.2_1","Northern Ireland",NA,"GBR.2.3_1","Belfast",NA,NA,"District","District",NA,"GB.BF"
"124","GBR","United Kingdom","GBR.2_1","Northern Ireland",NA,"GBR.2.4_1","Causeway Coast and Glens",NA,NA,"District","District",NA,"GB.CJ"
"125","GBR","United Kingdom","GBR.2_1","Northern Ireland",NA,"GBR.2.5_1","Derry and Strabane","<Null>",NA,"District","District",NA,"GB.DR"
"126","GBR","United Kingdom","GBR.2_1","Northern Ireland",NA,"GBR.2.6_1","Fermanagh and Omagh",NA,NA,"District","District",NA,"GB.FH"
"127","GBR","United Kingdom","GBR.2_1","Northern Ireland",NA,"GBR.2.7_1","Lisburn and Castlereagh",NA,NA,"District","District",NA,"GB.LH"
"128","GBR","United Kingdom","GBR.2_1","Northern Ireland",NA,"GBR.2.8_1","Mid and East Antrim",NA,NA,"District","District",NA,"GB.MA"
"129","GBR","United Kingdom","GBR.2_1","Northern Ireland",NA,"GBR.2.9_1","Mid Ulster",NA,NA,"District","District",NA,"GB.MU"
"120","GBR","United Kingdom","GBR.2_1","Northern Ireland",NA,"GBR.2.10_1","Newry, Mourne and Down",NA,NA,"District","District",NA,"GB.MD"
"121","GBR","United Kingdom","GBR.2_1","Northern Ireland",NA,"GBR.2.11_1","North Down and Ards",NA,NA,"District","District",NA,"GB.DD"
"130","GBR","United Kingdom","GBR.3_1","Scotland",NA,"GBR.3.1_1","Aberdeen","Aberdeen City",NA,"Unitary District (City)","Unitary District (City)",NA,"GB.AR"
"141","GBR","United Kingdom","GBR.3_1","Scotland",NA,"GBR.3.2_1","Aberdeenshire",NA,NA,"Unitary District","Unitary District",NA,"GB.AS"
"152","GBR","United Kingdom","GBR.3_1","Scotland",NA,"GBR.3.3_1","Angus","Forfar",NA,"Unitary District","Unitary District",NA,"GB.AG"
"156","GBR","United Kingdom","GBR.3_1","Scotland",NA,"GBR.3.4_1","Argyll and Bute","Earra-Ghaidheal agus Bòd",NA,"Unitary District","Unitary District",NA,"GB.AB"
"157","GBR","United Kingdom","GBR.3_1","Scotland",NA,"GBR.3.5_1","Clackmannanshire",NA,NA,"Unitary District","Unitary District",NA,"GB.CC"
"158","GBR","United Kingdom","GBR.3_1","Scotland",NA,"GBR.3.6_1","Dumfries and Galloway",NA,NA,"Unitary District","Unitary District",NA,"GB.DG"
"159","GBR","United Kingdom","GBR.3_1","Scotland",NA,"GBR.3.7_1","Dundee","Dundee City",NA,"Unitary District (City)","Unitary District (City)",NA,"GB.DU"
"160","GBR","United Kingdom","GBR.3_1","Scotland",NA,"GBR.3.8_1","East Ayrshire",NA,NA,"Unitary District","Unitary District",NA,"GB.EA"
"161","GBR","United Kingdom","GBR.3_1","Scotland",NA,"GBR.3.9_1","East Dunbartonshire",NA,NA,"Unitary District","Unitary District",NA,"GB.ED"
"131","GBR","United Kingdom","GBR.3_1","Scotland",NA,"GBR.3.10_1","East Lothian","Haddington",NA,"Unitary District","Unitary District",NA,"GB.EL"
"132","GBR","United Kingdom","GBR.3_1","Scotland",NA,"GBR.3.11_1","East Renfrewshire",NA,NA,"Unitary District","Unitary District",NA,"GB.ER"
"133","GBR","United Kingdom","GBR.3_1","Scotland",NA,"GBR.3.12_1","Edinburgh","Édimbourg|Edimburgo",NA,"Unitary District (City)","Unitary District (City)",NA,"GB.EB"
"134","GBR","United Kingdom","GBR.3_1","Scotland",NA,"GBR.3.13_1","Eilean Siar","Western Isles",NA,"Island area","Island area",NA,"GB.WI"
"135","GBR","United Kingdom","GBR.3_1","Scotland",NA,"GBR.3.14_1","Falkirk",NA,NA,"Unitary District","Unitary District",NA,"GB.FK"
"136","GBR","United Kingdom","GBR.3_1","Scotland",NA,"GBR.3.15_1","Fife",NA,NA,"Unitary District","Unitary District",NA,"GB.FI"
"137","GBR","United Kingdom","GBR.3_1","Scotland",NA,"GBR.3.16_1","Glasgow","Glasgow City",NA,"Unitary District (City)","Unitary District (City)",NA,"GB.GG"
"138","GBR","United Kingdom","GBR.3_1","Scotland",NA,"GBR.3.17_1","Highland",NA,NA,"Unitary District","Unitary District",NA,"GB.HI"
"139","GBR","United Kingdom","GBR.3_1","Scotland",NA,"GBR.3.18_1","Inverclyde",NA,NA,"Unitary District","Unitary District",NA,"GB.IC"
"140","GBR","United Kingdom","GBR.3_1","Scotland",NA,"GBR.3.19_1","Midlothian","Edinburgh",NA,"Unitary District","Unitary District",NA,"GB.ML"
"142","GBR","United Kingdom","GBR.3_1","Scotland",NA,"GBR.3.20_1","Moray","Elgin",NA,"Unitary District","Unitary District",NA,"GB.MO"
"143","GBR","United Kingdom","GBR.3_1","Scotland",NA,"GBR.3.21_1","North Ayrshire",NA,NA,"Unitary District","Unitary District",NA,"GB.NR"
"144","GBR","United Kingdom","GBR.3_1","Scotland",NA,"GBR.3.22_1","North Lanarkshire",NA,NA,"Unitary District","Unitary District",NA,"GB.NN"
"145","GBR","United Kingdom","GBR.3_1","Scotland",NA,"GBR.3.23_1","Orkney Islands","Orcadas|Orcades|Orcadi|Orkneyöarna|Orknøyene",NA,"Island area","Island area",NA,"GB.OR"
"146","GBR","United Kingdom","GBR.3_1","Scotland",NA,"GBR.3.24_1","Perthshire and Kinross","Perth and Kinross",NA,"Unitary District","Unitary District",NA,"GB.PK"
"147","GBR","United Kingdom","GBR.3_1","Scotland",NA,"GBR.3.25_1","Renfrewshire",NA,NA,"Unitary District","Unitary District",NA,"GB.RF"
"148","GBR","United Kingdom","GBR.3_1","Scotland",NA,"GBR.3.26_1","Scottish Borders","The Borders",NA,"Unitary District","Unitary District",NA,"GB.BO"
"149","GBR","United Kingdom","GBR.3_1","Scotland",NA,"GBR.3.27_1","Shetland Islands","Zetland",NA,"Island area","Island area",NA,"GB.SH"
"150","GBR","United Kingdom","GBR.3_1","Scotland",NA,"GBR.3.28_1","South Ayrshire",NA,NA,"Unitary District","Unitary District",NA,"GB.SA"
"151","GBR","United Kingdom","GBR.3_1","Scotland",NA,"GBR.3.29_1","South Lanarkshire",NA,NA,"Unitary District","Unitary District",NA,"GB.SL"
"153","GBR","United Kingdom","GBR.3_1","Scotland",NA,"GBR.3.30_1","Stirling",NA,NA,"Unitary District","Unitary District",NA,"GB.ZG"
"154","GBR","United Kingdom","GBR.3_1","Scotland",NA,"GBR.3.31_1","West Dunbartonshire","Dumbarton and Clydebank",NA,"Unitary District","Unitary District",NA,"GB.WD"
"155","GBR","United Kingdom","GBR.3_1","Scotland",NA,"GBR.3.32_1","West Lothian","Linlithgow",NA,"Unitary District","Unitary District",NA,"GB.WH"
"162","GBR","United Kingdom","GBR.4_1","Wales",NA,"GBR.4.1_1","Anglesey",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.AY"
"173","GBR","United Kingdom","GBR.4_1","Wales",NA,"GBR.4.2_1","Blaenau Gwent",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.BG"
"177","GBR","United Kingdom","GBR.4_1","Wales",NA,"GBR.4.3_1","Bridgend",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.BJ"
"178","GBR","United Kingdom","GBR.4_1","Wales",NA,"GBR.4.4_1","Caerphilly",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.CP"
"179","GBR","United Kingdom","GBR.4_1","Wales",NA,"GBR.4.5_1","Cardiff",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.CA"
"180","GBR","United Kingdom","GBR.4_1","Wales",NA,"GBR.4.6_1","Carmarthenshire",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.CI"
"181","GBR","United Kingdom","GBR.4_1","Wales",NA,"GBR.4.7_1","Ceredigion","Cardiganshire",NA,"Unitary Authority","Unitary Authority",NA,"GB.CG"
"182","GBR","United Kingdom","GBR.4_1","Wales",NA,"GBR.4.8_1","Conwy","Aberconwy and Colwyn",NA,"Unitary Authority","Unitary Authority",NA,"GB.CW"
"183","GBR","United Kingdom","GBR.4_1","Wales",NA,"GBR.4.9_1","Denbighshire",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.DI"
"163","GBR","United Kingdom","GBR.4_1","Wales",NA,"GBR.4.10_1","Flintshire",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.FL"
