Name	Cases	Cases_per_capitaTotal_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
Turkey	673675.288	0.00818364	4070718.238	0.0494501	4042.052	4.91e-05	24424.309	0.0002967
Afghanistan	508650.92	0.01368357	3996494.69	0.10751246	3051.906	8.21e-05	23978.968	0.00064507
Czech Republic	124059.495	0.01167542	863077.87	0.08122555	744.357	7.005e-05	5178.467	0.00048735
Mauritania	31167.4	0.00707816	181709.353	0.04126645	187.004	4.247e-05	1090.256	0.0002476
Saint Lucia	1287.44	0.00707816	7505.914	0.04126645	7.725	4.247e-05	45.035	0.0002476
San Marino	425.804	0.01260335	3170.009	0.09382889	2.555	7.562e-05	19.02	0.00056297
Mongolia	25943.853	0.00818364	156767.089	0.0494501	155.663	4.91e-05	940.603	0.0002967
France	1356149.862	0.0202449	21472989.721	0.32055341	8136.899	0.00012147	128837.938	0.00192332
Rwanda	87075.103	0.00707816	507657.377	0.04126645	522.451	4.247e-05	3045.944	0.0002476
Slovakia	58057.5	0.0106586	378840.275	0.06955012	348.345	6.395e-05	2273.042	0.0004173
Peru	340960.614	0.0106586	2224856.631	0.06955012	2045.764	6.395e-05	13349.14	0.0004173
Laos	30527.752	0.00432312	161830.461	0.02291727	183.167	2.594e-05	970.983	0.0001375
Brazil	2866288.134	0.01368357	22520563.438	0.10751246	17197.729	8.21e-05	135123.381	0.00064507
Seychelles	684.897	0.00707816	3993.024	0.04126645	4.109	4.247e-05	23.958	0.0002476
Norway	72719.085	0.01368357	571357.34	0.10751246	436.315	8.21e-05	3428.144	0.00064507
Malawi	42877.492	0.00236327	219263.297	0.01208507	257.265	1.418e-05	1315.58	7.251e-05
Benin	69919.048	0.00608783	392654.166	0.03418829	419.514	3.653e-05	2355.925	0.00020513
Libya	28872.255	0.00432312	153054.522	0.02291727	173.234	2.594e-05	918.327	0.0001375
Singapore	114154.415	0.0202449	1807496.839	0.32055341	684.926	0.00012147	10844.981	0.00192332
Montenegro	3788.732	0.00608783	21276.912	0.03418829	22.732	3.653e-05	127.661	0.00020513
Republic of the Congo	37120.445	0.00707816	216416.255	0.04126645	222.723	4.247e-05	1298.498	0.0002476
Togo	84086.68	0.0106586	548687.444	0.06955012	504.52	6.395e-05	3292.125	0.0004173
China	25867592.248	0.0185733	553794863.348	0.39763261	155205.553	0.00011144	3322769.18	0.0023858
Armenia	34463.237	0.01167542	239759.615	0.08122555	206.779	7.005e-05	1438.558	0.00048735
Dominican Republic	124076.658	0.01167542	863197.272	0.08122555	744.46	7.005e-05	5179.184	0.00048735
Ukraine	520986.798	0.01167542	3624488.193	0.08122555	3125.921	7.005e-05	21746.929	0.00048735
Ghana	210696.378	0.00707816	1228382.937	0.04126645	1264.178	4.247e-05	7370.298	0.0002476
Finland	113762.122	0.02061636	1544380.17	0.27987789	682.573	0.0001237	9266.281	0.00167927
Indonesia	3125084.117	0.01167542	21741108.456	0.08122555	18750.505	7.005e-05	130446.651	0.00048735
Central African Republic	33029.367	0.00707816	192564.823	0.04126645	198.176	4.247e-05	1155.389	0.0002476
Mauritius	7702.953	0.00608783	43258.548	0.03418829	46.218	3.653e-05	259.551	0.00020513
Sweden	211831.385	0.0208021	2640105.461	0.25926152	1270.988	0.00012481	15840.633	0.00155557
Vietnam	1934205.467	0.0202449	30625799.738	0.32055341	11605.233	0.00012147	183754.798	0.00192332
Mali	68495.446	0.00359034	354733.401	0.01859415	410.973	2.154e-05	2128.4	0.00011156
Russia	3005446.283	0.0208021	37457599.299	0.25926152	18032.678	0.00012481	224745.596	0.00155557
Bulgaria	66318.626	0.00944143	413666.781	0.05889152	397.912	5.665e-05	2482.001	0.00035335
Romania	266472.953	0.01368357	2093690.779	0.10751246	1598.838	8.21e-05	12562.145	0.00064507
Angola	159692.818	0.00518319	865768.448	0.02810046	958.157	3.11e-05	5194.611	0.0001686
Portugal	120043.932	0.01167542	835141.725	0.08122555	720.264	7.005e-05	5010.85	0.00048735
South Africa	615849.753	0.0106586	4018579.712	0.06955012	3695.099	6.395e-05	24111.478	0.0004173
Cyprus	11046.47	0.00944143	68903.082	0.05889152	66.279	5.665e-05	413.418	0.00035335
Liechtenstein	404.067	0.0106586	2636.645	0.06955012	2.424	6.395e-05	15.82	0.0004173
Qatar	35058.438	0.01260335	261001.669	0.09382889	210.351	7.562e-05	1566.01	0.00056297
Malaysia	646016.524	0.02043063	9495755.286	0.30030852	3876.099	0.00012258	56974.532	0.00180185
Senegal	185106.377	0.01167542	1287779.036	0.08122555	1110.638	7.005e-05	7726.674	0.00048735
Mozambique	127514.623	0.00432312	675966.921	0.02291727	765.088	2.594e-05	4055.802	0.0001375
Uganda	221442.102	0.00518319	1200539.807	0.02810046	1328.653	3.11e-05	7203.239	0.0001686
Hungary	104121.551	0.0106586	679420.181	0.06955012	624.729	6.395e-05	4076.521	0.0004173
Niger	116326.04	0.00518319	630657.136	0.02810046	697.956	3.11e-05	3783.943	0.0001686
The Bahamas	2347.712	0.00608783	13184.373	0.03418829	14.086	3.653e-05	79.106	0.00020513
Panama	34182.04	0.00818364	206546.77	0.0494501	205.092	4.91e-05	1239.281	0.0002967
Costa Rica	53287.031	0.0106586	347711.727	0.06955012	319.722	6.395e-05	2086.27	0.0004173
Luxembourg	7659.406	0.01260335	57022.445	0.09382889	45.956	7.562e-05	342.135	0.00056297
Cape Verde	2818.447	0.00518319	15280.102	0.02810046	16.911	3.11e-05	91.681	0.0001686
Andorra	899.078	0.01167542	6254.854	0.08122555	5.394	7.005e-05	37.529	0.00048735
Ivory Coast	512180.145	0.02043063	7528502.966	0.30030852	3073.081	0.00012258	45171.018	0.00180185
Nigeria	2468677.152	0.01260335	18378709.713	0.09382889	14812.063	7.562e-05	110272.258	0.00056297
Maldives	4868.906	0.00944143	30370.123	0.05889152	29.213	5.665e-05	182.221	0.00035335
Ecuador	199467.113	0.01167542	1387686.213	0.08122555	1196.803	7.005e-05	8326.117	0.00048735
Bangladesh	1523431.352	0.00944143	9502502.94	0.05889152	9140.588	5.665e-05	57015.018	0.00035335
Brunei	4050.014	0.00944143	25262.226	0.05889152	24.3	5.665e-05	151.573	0.00035335
Australia	510609.847	0.02043063	7505421.254	0.30030852	3063.659	0.00012258	45032.528	0.00180185
Iran	1371179.232	0.01676253	11399642.895	0.13935948	8227.075	0.00010058	68397.857	0.00083616
Algeria	577835.635	0.01368357	4540082.314	0.10751246	3467.014	8.21e-05	27240.494	0.00064507
El Salvador	33279.929	0.00518319	180425.852	0.02810046	199.68	3.11e-05	1082.555	0.0001686
Chile	218670.886	0.01167542	1521286.233	0.08122555	1312.025	7.005e-05	9127.717	0.00048735
Belgium	237602.956	0.0208021	2723699.79	0.23845943	1425.618	0.00012481	16342.199	0.00143076
Thailand	1405573.325	0.0202449	22255550.358	0.32055341	8433.44	0.00012147	133533.302	0.00192332
Haiti	57653.523	0.00518319	312566.349	0.02810046	345.921	3.11e-05	1875.398	0.0001686
Belize	1656.062	0.00432312	8778.941	0.02291727	9.936	2.594e-05	52.674	0.0001375
Sierra Leone	18079.354	0.00236327	92452.674	0.01208507	108.476	1.418e-05	554.716	7.251e-05
Georgia	51053.397	0.01368357	401128.991	0.10751246	306.32	8.21e-05	2406.774	0.00064507
Denmark	73067.219	0.01260335	543967.931	0.09382889	438.403	7.562e-05	3263.808	0.00056297
Poland	404798.069	0.0106586	2641412.616	0.06955012	2428.788	6.395e-05	15848.476	0.0004173
Namibia	17329.143	0.00707816	101030.798	0.04126645	103.975	4.247e-05	606.185	0.0002476
Moldova	33478.197	0.00944143	208822.452	0.05889152	200.869	5.665e-05	1252.935	0.00035335
Morocco	420655.466	0.01167542	2926486.38	0.08122555	2523.933	7.005e-05	17558.918	0.00048735
Croatia	55957.588	0.01368357	439661.457	0.10751246	335.746	8.21e-05	2637.969	0.00064507
Guinea-Bissau	6729.412	0.00359034	34851.18	0.01859415	40.376	2.154e-05	209.107	0.00011156
United Republic of Tanzania	342856.669	0.00608783	1925428.086	0.03418829	2057.14	3.653e-05	11552.569	0.00020513
Switzerland	116536.706	0.01368357	915634.495	0.10751246	699.22	8.21e-05	5493.807	0.00064507
Grenada	481.829	0.00432312	2554.221	0.02291727	2.891	2.594e-05	15.325	0.0001375
Iraq	525908.829	0.01368357	4132090.911	0.10751246	3155.453	8.21e-05	24792.545	0.00064507
Chad	80224.108	0.00518319	434931.904	0.02810046	481.345	3.11e-05	2609.591	0.0001686
Estonia	16647.558	0.01260335	123937.081	0.09382889	99.885	7.562e-05	743.622	0.00056297
Kosovo	13061.33	0.00707816	76148.984	0.04126645	78.368	4.247e-05	456.894	0.0002476
Mexico	1590426.183	0.01260335	11840341.746	0.09382889	9542.557	7.562e-05	71042.05	0.00056297
Lebanon	103312.55	0.01508449	839657.33	0.12259695	619.875	9.051e-05	5037.944	0.00073558
Uzbekistan	233263.622	0.00707816	1359952.437	0.04126645	1399.582	4.247e-05	8159.715	0.0002476
Egypt	1901173.006	0.01931623	17437465.874	0.17716754	11407.038	0.0001159	104624.795	0.00106301
Djibouti	5837.744	0.00608783	32783.836	0.03418829	35.026	3.653e-05	196.703	0.00020513
Antigua and Barbuda	681.528	0.00707816	3973.382	0.04126645	4.089	4.247e-05	23.84	0.0002476
Dominica	309.644	0.00432312	1641.449	0.02291727	1.858	2.594e-05	9.849	0.0001375
Colombia	529185.366	0.0106586	3453072.058	0.06955012	3175.112	6.395e-05	20718.432	0.0004173
Burundi	26410.399	0.00236327	135055.266	0.01208507	158.462	1.418e-05	810.332	7.251e-05
Taiwan	481423.653	0.0202449	7622760.172	0.32055341	2888.542	0.00012147	45736.561	0.00192332
Fiji	4579.259	0.00518319	24826.278	0.02810046	27.476	3.11e-05	148.958	0.0001686
Barbados	1745.022	0.00608783	9799.766	0.03418829	10.47	3.653e-05	58.799	0.00020513
Somalia	91367.127	0.00608783	513103.141	0.03418829	548.203	3.653e-05	3078.619	0.00020513
Madagascar	136122.816	0.00518319	737984.59	0.02810046	816.737	3.11e-05	4427.908	0.0001686
Italy	1257097.358	0.0208021	15667506.474	0.25926152	7542.584	0.00012481	94005.039	0.00155557
Curacao	1131.437	0.00707816	6596.401	0.04126645	6.789	4.247e-05	39.578	0.0002476
Bhutan	8040.782	0.0106586	52468.194	0.06955012	48.245	6.395e-05	314.809	0.0004173
Sudan	295877.974	0.00707816	1725000.961	0.04126645	1775.268	4.247e-05	10350.006	0.0002476
Nepal	573852.903	0.02043063	8435026.867	0.30030852	3443.117	0.00012258	50610.161	0.00180185
Malta	4565.213	0.00944143	28475.818	0.05889152	27.391	5.665e-05	170.855	0.00035335
Democratic Republic of the Congo	687983.301	0.00818364	4157175.154	0.0494501	4127.9	4.91e-05	24943.051	0.0002967
Netherlands	217168.472	0.01260335	1616767.223	0.09382889	1303.011	7.562e-05	9700.603	0.00056297
Suriname	4076.957	0.00707816	23769.105	0.04126645	24.462	4.247e-05	142.615	0.0002476
Kuwait	56613.154	0.01368357	444812.271	0.10751246	339.679	8.21e-05	2668.874	0.00064507
Israel	134007.605	0.01508449	1089126.803	0.12259695	804.046	9.051e-05	6534.761	0.00073558
Ireland	61170.416	0.01260335	455399.088	0.09382889	367.022	7.562e-05	2732.395	0.00056297
Venezuela	204347.884	0.00707816	1191370.52	0.04126645	1226.087	4.247e-05	7148.223	0.0002476
Zambia	105634.986	0.00608783	593229.145	0.03418829	633.81	3.653e-05	3559.375	0.00020513
Austria	121059.044	0.01368357	951166.718	0.10751246	726.354	8.21e-05	5707.0	0.00064507
Papua New Guinea	44608.162	0.00518319	241841.428	0.02810046	267.649	3.11e-05	1451.049	0.0001686
Zimbabwe	74840.159	0.00518319	405743.03	0.02810046	449.041	3.11e-05	2434.458	0.0001686
Germany	1709672.152	0.02061636	23209691.518	0.27987789	10258.033	0.0001237	139258.149	0.00167927
Gambia	13880.879	0.00608783	77952.791	0.03418829	83.285	3.653e-05	467.717	0.00020513
Kazakhstan	129364.0	0.00707816	754206.271	0.04126645	776.184	4.247e-05	4525.238	0.0002476
Philippines	2198774.75	0.02061636	29849514.49	0.27987789	13192.649	0.0001237	179097.087	0.00167927
Eritrea	23194.771	0.00518319	125749.553	0.02810046	139.169	3.11e-05	754.497	0.0001686
Kyrgyzstan	38449.532	0.00608783	215926.41	0.03418829	230.697	3.653e-05	1295.558	0.00020513
Greece	146792.789	0.01368357	1153357.985	0.10751246	880.757	8.21e-05	6920.148	0.00064507
Macedonia	28502.3	0.01368357	223943.94	0.10751246	171.014	8.21e-05	1343.664	0.00064507
Trinidad and Tobago	9837.638	0.00707816	57354.509	0.04126645	59.026	4.247e-05	344.127	0.0002476
Latvia	22493.195	0.01167542	156484.424	0.08122555	134.959	7.005e-05	938.907	0.00048735
South Sudan	21193.187	0.00193088	106705.775	0.00972181	127.159	1.159e-05	640.235	5.833e-05
Guyana	6375.091	0.00818364	38521.822	0.0494501	38.251	4.91e-05	231.131	0.0002967
Syria	73087.913	0.00432312	387445.85	0.02291727	438.527	2.594e-05	2324.675	0.0001375
Honduras	78460.864	0.00818364	474103.881	0.0494501	470.765	4.91e-05	2844.623	0.0002967
Myanmar	192831.546	0.00359034	998661.873	0.01859415	1156.989	2.154e-05	5991.971	0.00011156
Equatorial Guinea	9265.129	0.00707816	54016.713	0.04126645	55.591	4.247e-05	324.1	0.0002476
Tunisia	123268.858	0.0106586	804361.34	0.06955012	739.613	6.395e-05	4826.168	0.0004173
Nicaragua	33511.976	0.00518319	181683.882	0.02810046	201.072	3.11e-05	1090.103	0.0001686
Cuba	92787.281	0.00818364	560672.01	0.0494501	556.724	4.91e-05	3364.032	0.0002967
United Kingdom	544122.21	0.00818364	3287886.975	0.0494501	3264.733	4.91e-05	19727.322	0.0002967
Iceland	4456.216	0.01260335	33175.456	0.09382889	26.737	7.562e-05	199.053	0.00056297
Paraguay	65675.24	0.00944143	409653.618	0.05889152	394.051	5.665e-05	2457.922	0.00035335
Gabon	15000.569	0.00707816	87454.96	0.04126645	90.003	4.247e-05	524.73	0.0002476
Botswana	6579.19	0.00291873	33820.469	0.01500381	39.475	1.751e-05	202.923	9.002e-05
