region;Tests;tests_per_million;as_of_date
Costa Rica;5098;1001;06.04.2020
Cyprus;11664;9661;06.04.2020
Uruguay;5208;1499;06.04.2020
Taiwan;37219;1563;06.04.2020
Albania;2571;893;06.04.2020
Afghanistan;0;0;06.04.2020
Burkina Faso;0;0;06.04.2020
Jordan;0;0;06.04.2020
Réunion;0;0;06.04.2020
Uzbekistan;0;0;06.04.2020
Cuba;5234;462;06.04.2020
Channel Islands;1157;6655;06.04.2020
Oman;0;0;06.04.2020
Honduras;0;0;06.04.2020
San Marino;586;17270;06.04.2020
Ivory Coast;0;0;06.04.2020
Vietnam;94305;969;06.04.2020
Palestine;12738;2497;06.04.2020
Nigeria;4000;19;06.04.2020
Mauritius;4913;3863;06.04.2020
Malta;10923;24738;06.04.2020
Senegal;0;0;06.04.2020
Ghana;0;0;06.04.2020
Montenegro;1722;2742;06.04.2020
Niger;4012;166;06.04.2020
Faeroe Islands;4934;100976;06.04.2020
Sri Lanka;3248;152;06.04.2020
Georgia;2762;692;06.04.2020
Venezuela;1779;63;06.04.2020
Bolivia;591;51;06.04.2020
DRC;0;0;06.04.2020
Martinique;0;0;06.04.2020
Kyrgyzstan;9618;1474;06.04.2020
Kenya;4277;80;06.04.2020
Brunei;8261;18883;06.04.2020
Guadeloupe;0;0;06.04.2020
Mayotte;479;1756;06.04.2020
Isle of Man;1638;19263;06.04.2020
Guinea;0;0;06.04.2020
Cambodia;5768;345;06.04.2020
Trinidad and Tobago;833;595;06.04.2020
Paraguay;1877;263;06.04.2020
Rwanda;0;0;06.04.2020
Gibraltar;1387;41168;06.04.2020
Bangladesh;3610;22;06.04.2020
Liechtenstein;900;23605;06.04.2020
Monaco;0;0;06.04.2020
Madagascar;0;0;06.04.2020
Aruba;910;8523;06.04.2020
El Salvador;0;0;06.04.2020
Guatemala;1134;63;06.04.2020
French Guiana;0;0;06.04.2020
Djibouti;0;0;06.04.2020
Jamaica;540;182;06.04.2020
Barbados;527;1834;06.04.2020
Uganda;2629;57;06.04.2020
Congo;0;0;06.04.2020
Mali;0;0;06.04.2020
Togo;0;0;06.04.2020
Macao;0;0;06.04.2020
Ethiopia;1843;16;06.04.2020
French Polynesia;618;2200;06.04.2020
Zambia;619;34;06.04.2020
Bermuda;298;4785;06.04.2020
Cayman Islands;365;5554;06.04.2020
Saint Martin;0;0;06.04.2020
Eritrea;0;0;06.04.2020
Bahamas;0;0;06.04.2020
Sint Maarten;105;2449;06.04.2020
Guyana;110;140;06.04.2020
Tanzania;0;0;06.04.2020
Benin;0;0;06.04.2020
Gabon;0;0;06.04.2020
Haiti;247;22;06.04.2020
Myanmar;1246;23;06.04.2020
Syria;0;0;06.04.2020
Maldives;0;0;06.04.2020
Libya;312;45;06.04.2020
Guinea-Bissau;0;0;06.04.2020
New Caledonia;1983;6946;06.04.2020
Equatorial Guinea;854;609;06.04.2020
Namibia;362;142;06.04.2020
Antigua and Barbuda;40;408;06.04.2020
Angola;0;0;06.04.2020
Dominica;255;3542;06.04.2020
Mongolia;0;0;06.04.2020
Saint Lucia;0;0;06.04.2020
Liberia;0;0;06.04.2020
Sudan;0;0;06.04.2020
Fiji;0;0;06.04.2020
Grenada;45;400;06.04.2020
Curaçao;0;0;06.04.2020
Greenland;718;12648;06.04.2020
Laos;621;85;06.04.2020
Suriname;0;0;06.04.2020
Mozambique;363;12;06.04.2020
Saint Kitts and Nevis;149;2801;06.04.2020
Seychelles;0;0;06.04.2020
MS Zaandam;0;0;06.04.2020
Zimbabwe;316;21;06.04.2020
Nepal;1656;57;06.04.2020
Chad;0;0;06.04.2020
Eswatini;0;0;06.04.2020
CAR;0;0;06.04.2020
Cabo Verde;0;0;06.04.2020
Vatican City;0;0;06.04.2020
St. Vincent Grenadines;0;0;06.04.2020
Somalia;0;0;06.04.2020
Botswana;966;411;06.04.2020
Mauritania;67;14;06.04.2020
Nicaragua;0;0;06.04.2020
Montserrat;0;0;06.04.2020
St. Barth;0;0;06.04.2020
Sierra Leone;0;0;06.04.2020
Turks and Caicos;0;0;06.04.2020
Belize;268;674;06.04.2020
Bhutan;0;0;06.04.2020
Gambia;0;0;06.04.2020
Malawi;0;0;06.04.2020
Western Sahara;0;0;06.04.2020
Anguilla;0;0;06.04.2020
British Virgin Islands;0;0;06.04.2020
Burundi;0;0;06.04.2020
Caribbean Netherlands;10;381;06.04.2020
Falkland Islands;0;0;06.04.2020
Papua New Guinea;72;8;06.04.2020
Saint Pierre Miquelon;0;0;06.04.2020
South Sudan;0;0;06.04.2020
Timor-Leste;0;0;06.04.2020
New York;320811;16353;06.04.2020
New Jersey;89032;10024;06.04.2020
Michigan;45748;4594;06.04.2020
California;116533;2977;06.04.2020
Louisiana;69166;14831;06.04.2020
Massachusetts;76429;11190;06.04.2020
Florida;116898;5675;06.04.2020
Pennsylvania;83854;6556;06.04.2020
Illinois;62942;4909;06.04.2020
Washington;91375;12527;06.04.2020
Texas;85357;3061;06.04.2020
Georgia;31274;3037;06.04.2020
Connecticut;26686;7451;06.04.2020
Colorado;25773;4660;06.04.2020
Indiana;26191;3946;06.04.2020
Ohio;48378;4156;06.04.2020
Tennessee;47350;7119;06.04.2020
Maryland;29617;4933;06.04.2020
North Carolina;40045;3943;06.04.2020
Virginia;24521;2914;06.04.2020
Missouri;27173;4462;06.04.2020
Arizona;32534;4683;06.04.2020
Wisconsin;29014;5021;06.04.2020
South Carolina;18976;3829;06.04.2020
Nevada;20756;7101;06.04.2020
Alabama;14765;3035;06.04.2020
Mississippi;20370;6816;06.04.2020
Utah;33394;10966;06.04.2020
Oklahoma;2751;702;06.04.2020
Idaho;10261;6079;06.04.2020
Oregon;21801;5341;06.04.2020
District Of Columbia;7453;10888;06.04.2020
Kentucky;18767;4227;06.04.2020
Minnesota;28128;5089;06.04.2020
Rhode Island;8102;7668;06.04.2020
Iowa;11599;3703;06.04.2020
Arkansas;12845;4295;06.04.2020
Kansas;9084;3123;06.04.2020
Delaware;6994;7366;06.04.2020
New Mexico;16909;8081;06.04.2020
New Hampshire;8370;6229;06.04.2020
Vermont;6633;10613;06.04.2020
Maine;6544;4910;06.04.2020
Hawaii;13314;9363;06.04.2020
Nebraska;6796;3568;06.04.2020
West Virginia;9940;5435;06.04.2020
Montana;6789;6517;06.04.2020
South Dakota;6020;6965;06.04.2020
North Dakota;7213;9589;06.04.2020
Wyoming;3929;6753;06.04.2020
Alaska;6284;8509;06.04.2020
Guam;605;0;06.04.2020
Northern Mariana Islands;33;0;06.04.2020
Puerto Rico;4951;1462;06.04.2020
United States Virgin Islands;266;0;06.04.2020
USA;1758170;1011;05.04.2020
Spain;355000;2816;05.04.2020
Italy;691461;2133;05.04.2020
Germany;918460;1195;05.04.2020
France;224254;1422;05.04.2020
China;;57;05.04.2020
Iran;186000;693;05.04.2020
UK;195524;704;05.04.2020
Turkey;181445;321;05.04.2020
Switzerland;158000;2438;05.04.2020
Belgium;70000;1699;05.04.2020
Netherlands;75415;1042;05.04.2020
Canada;317972;409;05.04.2020
Austria;108416;1338;05.04.2020
Portugal;86370;1106;05.04.2020
Brazil;54824;52;05.04.2020
S. Korea;461233;200;05.04.2020
Israel;90394;974;05.04.2020
Sweden;36900;676;05.04.2020
Norway;105865;1049;05.04.2020
Australia;297154;223;05.04.2020
Russia;697000;37;05.04.2020
Ireland;30213;1011;05.04.2020
Czechia;80304;428;05.04.2020
Chile;51956;234;05.04.2020
Denmark;49249;754;05.04.2020
Poland;80757;108;05.04.2020
Romania;38623;201;05.04.2020
Malaysia;51937;113;05.04.2020
Ecuador;12386;207;05.04.2020
India;128320;3;05.04.2020
Philippines;19585;30;05.04.2020
Pakistan;34885;14;05.04.2020
Japan;44639;25;05.04.2020
Luxembourg;23687;4479;05.04.2020
Saudi Arabia;;69;05.04.2020
Peru;19410;69;05.04.2020
Indonesia;9712;8;05.04.2020
Thailand;25071;31;05.04.2020
Finland;31714;348;05.04.2020
Serbia;7360;218;05.04.2020
Mexico;15668;15;05.04.2020
Panama;9256;417;05.04.2020
UAE;220000;182;05.04.2020
Dominican Republic;4542;161;05.04.2020
Greece;25453;166;05.04.2020
South Africa;56873;28;05.04.2020
Qatar;35757;557;05.04.2020
Iceland;25394;4355;05.04.2020
Colombia;23706;29;05.04.2020
Argentina;8488;32;05.04.2020
Algeria;3359;30;05.04.2020
Singapore;39000;224;05.04.2020
Ukraine;5493;30;05.04.2020
Croatia;10847;288;05.04.2020
Egypt;25000;11;05.04.2020
Estonia;21004;827;05.04.2020
New Zealand;36209;215;05.04.2020
Morocco;4848;28;05.04.2020
Slovenia;27764;480;05.04.2020
Iraq;;24;05.04.2020
Hong Kong;96709;119;05.04.2020
Moldova;;214;05.04.2020
Armenia;4666;277;05.04.2020
Lithuania;23645;298;05.04.2020
Hungary;21250;76;05.04.2020
Bahrain;44386;411;05.04.2020
Bosnia and Herzegovina;5349;199;05.04.2020
Cameroon;;24;05.04.2020
Azerbaijan;40000;58;05.04.2020
Kazakhstan;5093;31;05.04.2020
Tunisia;7145;49;05.04.2020
Belarus;32000;59;05.04.2020
Kuwait;;130;05.04.2020
North Macedonia;4920;266;05.04.2020
Latvia;20680;283;05.04.2020
Bulgaria;15899;76;05.04.2020
Lebanon;9411;77;05.04.2020
Andorra;;6484;05.04.2020
Slovakia;15155;89;05.04.2020
Costa Rica;5098;89;05.04.2020
Cyprus;10946;369;05.04.2020
Uruguay;5063;115;05.04.2020
Taiwan;37219;15;05.04.2020
Albania;2396;125;05.04.2020
Afghanistan;;9;05.04.2020
Burkina Faso;;17;05.04.2020
Jordan;;34;05.04.2020
Réunion;;384;05.04.2020
Uzbekistan;;10;05.04.2020
Cuba;5234;28;05.04.2020
Channel Islands;;1777;05.04.2020
Oman;;58;05.04.2020
Honduras;;27;05.04.2020
San Marino;586;7839;05.04.2020
Ivory Coast;;10;05.04.2020
Vietnam;88551;2;05.04.2020
Palestine;12738;46;05.04.2020
Nigeria;4000;1;05.04.2020
Mauritius;;178;05.04.2020
Malta;10358;514;05.04.2020
Senegal;;13;05.04.2020
Ghana;;7;05.04.2020
Montenegro;1583;341;05.04.2020
Niger;4012;8;05.04.2020
Faeroe Islands;4890;3704;05.04.2020
Sri Lanka;;8;05.04.2020
Georgia;2762;44;05.04.2020
Venezuela;1779;6;05.04.2020
Bolivia;591;13;05.04.2020
DRC;;2;05.04.2020
Martinique;;397;05.04.2020
Kyrgyzstan;9618;23;05.04.2020
Kenya;3836;3;05.04.2020
Brunei;8129;309;05.04.2020
Guadeloupe;;335;05.04.2020
Mayotte;479;491;05.04.2020
Isle of Man;1334;1494;05.04.2020
Guinea;;9;05.04.2020
Cambodia;5768;7;05.04.2020
Trinidad and Tobago;797;74;05.04.2020
Paraguay;1381;15;05.04.2020
Rwanda;;8;05.04.2020
Gibraltar;1345;3057;05.04.2020
Bangladesh;2086;0.5;05.04.2020
Liechtenstein;900;2020;05.04.2020
Monaco;;1860;05.04.2020
Madagascar;;3;05.04.2020
Aruba;863;599;05.04.2020
El Salvador;;10;05.04.2020
Guatemala;1134;3;05.04.2020
French Guiana;;204;05.04.2020
Djibouti;;60;05.04.2020
Jamaica;540;20;05.04.2020
Barbados;527;195;05.04.2020
Uganda;2629;1;05.04.2020
Congo;;8;05.04.2020
Mali;;2;05.04.2020
Togo;;5;05.04.2020
Macao;;68;05.04.2020
Ethiopia;1843;0.4;05.04.2020
French Polynesia;612;146;05.04.2020
Zambia;619;2;05.04.2020
Bermuda;291;594;05.04.2020
Cayman Islands;319;533;05.04.2020
Saint Martin;;828;05.04.2020
Eritrea;;8;05.04.2020
Bahamas;;71;05.04.2020
Sint Maarten;82;583;05.04.2020
Guyana;93;31;05.04.2020
Tanzania;;0.4;05.04.2020
Benin;;2;05.04.2020
Gabon;;9;05.04.2020
Haiti;247;2;05.04.2020
Myanmar;;0.4;05.04.2020
Syria;;1;05.04.2020
Maldives;;35;05.04.2020
Libya;294;3;05.04.2020
Guinea-Bissau;;9;05.04.2020
New Caledonia;1983;63;05.04.2020
Equatorial Guinea;;11;05.04.2020
Namibia;301;6;05.04.2020
Antigua and Barbuda;40;153;05.04.2020
Angola;;0.4;05.04.2020
Dominica;255;194;05.04.2020
Mongolia;;4;05.04.2020
Saint Lucia;;76;05.04.2020
Liberia;;3;05.04.2020
Sudan;;0.3;05.04.2020
Fiji;;13;05.04.2020
Grenada;45;107;05.04.2020
Curaçao;;67;05.04.2020
Greenland;542;194;05.04.2020
Laos;604;2;05.04.2020
Suriname;;17;05.04.2020
Mozambique;338;0.3;05.04.2020
Saint Kitts and Nevis;149;188;05.04.2020
Seychelles;;102;05.04.2020
MS Zaandam;;;05.04.2020
Zimbabwe;316;0.6;05.04.2020
Nepal;1521;0.3;05.04.2020
Chad;;0.5;05.04.2020
Eswatini;;8;05.04.2020
CAR;;2;05.04.2020
Cabo Verde;;13;05.04.2020
Vatican City;;8739;05.04.2020
St. Vincent Grenadines;;63;05.04.2020
Somalia;;0.4;05.04.2020
Botswana;966;3;05.04.2020
Mauritania;67;1;05.04.2020
Nicaragua;;0.9;05.04.2020
Montserrat;;1202;05.04.2020
St. Barth;;607;05.04.2020
Sierra Leone;;0.8;05.04.2020
Turks and Caicos;;129;05.04.2020
Belize;102;13;05.04.2020
Bhutan;;6;05.04.2020
Gambia;;2;05.04.2020
Malawi;;0.2;05.04.2020
Western Sahara;;7;05.04.2020
Anguilla;;200;05.04.2020
British Virgin Islands;;99;05.04.2020
Burundi;;0.3;05.04.2020
Caribbean Netherlands;10;76;05.04.2020
Falkland Islands;;575;05.04.2020
Papua New Guinea;72;0.1;05.04.2020
Saint Pierre Miquelon;;173;05.04.2020
South Sudan;;0.09;05.04.2020
Timor-Leste;;0.8;05.04.2020
New York;302280;15408;05.04.2020
New Jersey;81904;9222;05.04.2020
Michigan;40581;4075;05.04.2020
California;113700;2904;05.04.2020
Louisiana;60325;12935;05.04.2020
Massachusetts;71937;10532;05.04.2020
Florida;114580;5563;05.04.2020
Pennsylvania;77771;6080;05.04.2020
Illinois;58983;4600;05.04.2020
Washington;87918;12053;05.04.2020
Texas;70938;2544;05.04.2020
Georgia;27832;2703;05.04.2020
Connecticut;23270;6497;05.04.2020
Colorado;25773;4660;05.04.2020
Indiana;22652;3413;05.04.2020
Ohio;41871;3597;05.04.2020
Tennessee;45300;6811;05.04.2020
Maryland;28337;4720;05.04.2020
North Carolina;40045;3943;05.04.2020
Virginia;23671;2813;05.04.2020
Missouri;27173;4462;05.04.2020
Arizona;27160;3910;05.04.2020
Wisconsin;25971;4495;05.04.2020
South Carolina;18976;3829;05.04.2020
Nevada;19908;6811;05.04.2020
Alabama;13078;2688;05.04.2020
Mississippi;6780;2268;05.04.2020
Utah;30892;10144;05.04.2020
Oklahoma;2655;678;05.04.2020
Idaho;10261;6079;05.04.2020
Oregon;20624;5052;05.04.2020
District Of Columbia;6834;9984;05.04.2020
Kentucky;18767;4227;05.04.2020
Minnesota;25423;4599;05.04.2020
Rhode Island;8102;7668;05.04.2020
Iowa;9453;3018;05.04.2020
Arkansas;11143;3726;05.04.2020
Kansas;8223;2827;05.04.2020
Delaware;6994;7366;05.04.2020
New Mexico;16909;6229;05.04.2020
New Hampshire;8032;8081;05.04.2020
Vermont;6582;10532;05.04.2020
Maine;6544;4910;05.04.2020
Hawaii;13314;9363;05.04.2020
Nebraska;5933;3115;05.04.2020
West Virginia;8838;4832;05.04.2020
Montana;6603;6338;05.04.2020
South Dakota;5593;6471;05.04.2020
North Dakota;6787;9023;05.04.2020
Wyoming;3227;5546;05.04.2020
Alaska;6284;8509;05.04.2020
Guam;500;;05.04.2020
Northern Mariana Islands;33;;05.04.2020
Puerto Rico;4591;1356;05.04.2020
United States Virgin Islands;266;;05.04.2020
USA;1626287;4913;04.04.2020
Spain;355000;7593;04.04.2020
Italy;657224;10870;04.04.2020
Germany;918460;10962;04.04.2020
France;224254;3436;04.04.2020
China;0;0;04.04.2020
Iran;186000;2214;04.04.2020
UK;183190;2698;04.04.2020
Turkey;161380;1913;04.04.2020
Switzerland;153440;17729;04.04.2020
Belgium;70000;6040;04.04.2020
Netherlands;75415;4401;04.04.2020
Canada;317972;8425;04.04.2020
Austria;104134;11562;04.04.2020
Portugal;81087;7952;04.04.2020
Brazil;54824;258;04.04.2020
S. Korea;455032;8875;04.04.2020
Israel;90394;10443;04.04.2020
Sweden;36900;3654;04.04.2020
Norway;105865;19528;04.04.2020
Australia;286786;11247;04.04.2020
Russia;639606;4383;04.04.2020
Ireland;30213;6119;04.04.2020
Czechia;74170;6926;04.04.2020
Chile;48613;2543;04.04.2020
Denmark;45270;7816;04.04.2020
Poland;72901;1926;04.04.2020
Romania;36092;1876;04.04.2020
Malaysia;49570;1532;04.04.2020
Ecuador;10317;585;04.04.2020
India;116608;84;04.04.2020
Philippines;5530;50;04.04.2020
Pakistan;30308;137;04.04.2020
Japan;42882;339;04.04.2020
Luxembourg;22793;36412;04.04.2020
Saudi Arabia;0;0;04.04.2020
Peru;17841;541;04.04.2020
Indonesia;7896;29;04.04.2020
Thailand;23669;339;04.04.2020
Finland;29000;5234;04.04.2020
Serbia;6401;733;04.04.2020
Mexico;15668;122;04.04.2020
Panama;7333;1700;04.04.2020
UAE;220000;22244;04.04.2020
Dominican Republic;4200;387;04.04.2020
Greece;22437;2153;04.04.2020
South Africa;53937;909;04.04.2020
Qatar;31951;11090;04.04.2020
Iceland;23640;69276;04.04.2020
Colombia;23706;466;04.04.2020
Argentina;8488;188;04.04.2020
Algeria;3359;77;04.04.2020
Singapore;39000;6666;04.04.2020
Ukraine;5040;115;04.04.2020
Croatia;9833;2395;04.04.2020
Egypt;25000;244;04.04.2020
Estonia;19091;14392;04.04.2020
New Zealand;33116;6867;04.04.2020
Morocco;4321;117;04.04.2020
Slovenia;27109;13040;04.04.2020
Iraq;0;0;04.04.2020
Hong Kong;90000;12005;04.04.2020
Moldova;681;169;04.04.2020
Armenia;3994;1348;04.04.2020
Lithuania;21376;7852;04.04.2020
Hungary;19424;2011;04.04.2020
Diamond Princess;0;0;04.04.2020
Bahrain;39379;23143;04.04.2020
Bosnia and Herzegovina;5349;1630;04.04.2020
Cameroon;0;0;04.04.2020
Azerbaijan;35000;3452;04.04.2020
Kazakhstan;316;17;04.04.2020
Tunisia;6485;549;04.04.2020
Belarus;32000;3386;04.04.2020
Kuwait;0;0;04.04.2020
North Macedonia;4920;2362;04.04.2020
Latvia;19380;10275;04.04.2020
Bulgaria;566;81;04.04.2020
Lebanon;9022;1322;04.04.2020
Andorra;0;0;04.04.2020
Slovakia;13631;2497;04.04.2020
Costa Rica;4654;914;04.04.2020
Cyprus;10154;8410;04.04.2020
Uruguay;4786;1378;04.04.2020
Taiwan;36304;1524;04.04.2020
Albania;2247;781;04.04.2020
Afghanistan;0;0;04.04.2020
Burkina Faso;0;0;04.04.2020
Jordan;239;23;04.04.2020
Réunion;0;0;04.04.2020
Uzbekistan;0;0;04.04.2020
Cuba;3342;295;04.04.2020
Channel Islands;0;0;04.04.2020
Oman;0;0;04.04.2020
Honduras;0;0;04.04.2020
San Marino;586;17270;04.04.2020
Ivory Coast;0;0;04.04.2020
Vietnam;75458;775;04.04.2020
Palestine;7553;1481;04.04.2020
Nigeria;4000;19;04.04.2020
Mauritius;0;0;04.04.2020
Malta;9703;21975;04.04.2020
Senegal;195;12;04.04.2020
Ghana;0;0;04.04.2020
Montenegro;1456;2318;04.04.2020
Niger;4012;166;04.04.2020
Faeroe Islands;4800;98234;04.04.2020
Sri Lanka;0;0;04.04.2020
Georgia;0;0;04.04.2020
Venezuela;1779;63;04.04.2020
Bolivia;591;51;04.04.2020
DRC;0;0;04.04.2020
Martinique;0;0;04.04.2020
Kyrgyzstan;9618;1474;04.04.2020
Kenya;2201;41;04.04.2020
Brunei;7801;17832;04.04.2020
Guadeloupe;0;0;04.04.2020
Mayotte;479;1756;04.04.2020
Isle of Man;1319;15512;04.04.2020
Guinea;0;0;04.04.2020
Cambodia;5768;345;04.04.2020
Trinidad and Tobago;736;526;04.04.2020
Paraguay;1289;181;04.04.2020
Rwanda;0;0;04.04.2020
Gibraltar;1269;37666;04.04.2020
Bangladesh;2086;13;04.04.2020
Liechtenstein;900;23605;04.04.2020
Monaco;0;0;04.04.2020
Madagascar;0;0;04.04.2020
Aruba;863;8083;04.04.2020
El Salvador;0;0;04.04.2020
Guatemala;0;0;04.04.2020
French Guiana;0;0;04.04.2020
Djibouti;0;0;04.04.2020
Jamaica;540;182;04.04.2020
Barbados;382;1329;04.04.2020
Uganda;2629;57;04.04.2020
Congo;0;0;04.04.2020
Mali;0;0;04.04.2020
Togo;0;0;04.04.2020
Macao;0;0;04.04.2020
Ethiopia;1222;11;04.04.2020
French Polynesia;583;2075;04.04.2020
Zambia;619;34;04.04.2020
Bermuda;272;4368;04.04.2020
Cayman Islands;319;4854;04.04.2020
Saint Martin;18;466;04.04.2020
Eritrea;0;0;04.04.2020
Bahamas;0;0;04.04.2020
Sint Maarten;82;1912;04.04.2020
Guyana;83;106;04.04.2020
Tanzania;0;0;04.04.2020
Benin;0;0;04.04.2020
Gabon;0;0;04.04.2020
Haiti;200;18;04.04.2020
Myanmar;0;0;04.04.2020
Syria;0;0;04.04.2020
Maldives;0;0;04.04.2020
Libya;131;19;04.04.2020
Guinea-Bissau;0;0;04.04.2020
New Caledonia;1390;4869;04.04.2020
Equatorial Guinea;0;0;04.04.2020
Namibia;301;118;04.04.2020
Antigua and Barbuda;40;408;04.04.2020
Angola;0;0;04.04.2020
Dominica;255;3542;04.04.2020
Mongolia;0;0;04.04.2020
Saint Lucia;0;0;04.04.2020
Liberia;0;0;04.04.2020
Sudan;0;0;04.04.2020
Fiji;0;0;04.04.2020
Grenada;45;400;04.04.2020
Curaçao;0;0;04.04.2020
Greenland;542;9547;04.04.2020
Laos;437;60;04.04.2020
Suriname;0;0;04.04.2020
Mozambique;338;11;04.04.2020
Saint Kitts and Nevis;113;2124;04.04.2020
Seychelles;0;0;04.04.2020
MS Zaandam;0;0;04.04.2020
Zimbabwe;316;21;04.04.2020
Nepal;1521;52;04.04.2020
Chad;0;0;04.04.2020
Eswatini;0;0;04.04.2020
CAR;0;0;04.04.2020
Cabo Verde;0;0;04.04.2020
Vatican City;0;0;04.04.2020
St. Vincent Grenadines;0;0;04.04.2020
Somalia;0;0;04.04.2020
Botswana;175;74;04.04.2020
Mauritania;67;14;04.04.2020
Nicaragua;0;0;04.04.2020
Montserrat;0;0;04.04.2020
St. Barth;0;0;04.04.2020
Sierra Leone;2;0.3;04.04.2020
Turks and Caicos;0;0;04.04.2020
Belize;25;63;04.04.2020
Bhutan;0;0;04.04.2020
Gambia;0;0;04.04.2020
Malawi;0;0;04.04.2020
Western Sahara;;;04.04.2020
Anguilla;0;0;04.04.2020
British Virgin Islands;0;0;04.04.2020
Burundi;2;0.2;04.04.2020
Caribbean Netherlands;10;381;04.04.2020
Falkland Islands;0;0;04.04.2020
Papua New Guinea;72;8;04.04.2020
Saint Pierre Miquelon;;;04.04.2020
South Sudan;;;04.04.2020
Timor-Leste;0;0;04.04.2020
