department,municipality,department_abbreviation,NAME,row_nr
Antioquia,Granada,AN,"Granada, AN",60
Antioquia,Guadalupe,AN,"Guadalupe, AN",61
Antioquia,Guarne,AN,"Guarne, AN",62
Antioquia,Guatape,AN,"Guatape, AN",63
Antioquia,Heliconia,AN,"Heliconia, AN",64
Antioquia,Hispania,AN,"Hispania, AN",65
Antioquia,Itagui,AN,"Itagui, AN",66
Antioquia,Ituango,AN,"Ituango, AN",67
Antioquia,Jardin,AN,"Jardin, AN",68
Antioquia,Jerico,AN,"Jerico, AN",69
Antioquia,La Ceja,AN,"La Ceja, AN",70
Antioquia,La Estrella,AN,"La Estrella, AN",71
Antioquia,La Union de Sucre,AN,"La Union de Sucre, AN",72
Antioquia,Liborina,AN,"Liborina, AN",73
Antioquia,Maceo,AN,"Maceo, AN",74
Antioquia,Marinilla,AN,"Marinilla, AN",75
Antioquia,Medellin,AN,"Medellin, AN",76
Antioquia,Montebello,AN,"Montebello, AN",77
Antioquia,Murindo,AN,"Murindo, AN",78
Antioquia,Mutata,AN,"Mutata, AN",79
Antioquia,Narino,AN,"Narino, AN",80
Antioquia,Nechi,AN,"Nechi, AN",81
Antioquia,Necocli,AN,"Necocli, AN",82
Antioquia,Olaya,AN,"Olaya, AN",83
Antioquia,Penol,AN,"Penol, AN",84
Antioquia,Peque,AN,"Peque, AN",85
Antioquia,Pueblorrico,AN,"Pueblorrico, AN",86
Antioquia,Puerto Berrio,AN,"Puerto Berrio, AN",87
Antioquia,Puerto Nare,AN,"Puerto Nare, AN",88
Antioquia,Puerto Triunfo,AN,"Puerto Triunfo, AN",89
Antioquia,Remedios,AN,"Remedios, AN",90
Antioquia,Retiro,AN,"Retiro, AN",91
Antioquia,Rionegro,AN,"Rionegro, AN",92
Antioquia,Sabanalarga,AN,"Sabanalarga, AN",93
Antioquia,Sabaneta,AN,"Sabaneta, AN",94
Antioquia,Salgar,AN,"Salgar, AN",95
Antioquia,San Andres de Cuerquia,AN,"San Andres de Cuerquia, AN",96
Antioquia,San Carlos,AN,"San Carlos, AN",97
Antioquia,San Francisco,AN,"San Francisco, AN",98
Antioquia,San Jeronimo,AN,"San Jeronimo, AN",99
Antioquia,San Jose de la Montana,AN,"San Jose de la Montana, AN",100
Antioquia,San Juan de Uraba,AN,"San Juan de Uraba, AN",101
Antioquia,San Luis,AN,"San Luis, AN",102
Antioquia,San Pedro de los Milagros,AN,"San Pedro de los Milagros, AN",103
Antioquia,San Pedro de Uraba,AN,"San Pedro de Uraba, AN",104
Antioquia,San Rafael,AN,"San Rafael, AN",105
Antioquia,San Roque,AN,"San Roque, AN",106
Antioquia,San Vicente,AN,"San Vicente, AN",107
Antioquia,Santa Barbara,AN,"Santa Barbara, AN",108
Antioquia,Santa Fe de Antioquia,AN,"Santa Fe de Antioquia, AN",109
Antioquia,Santa Rosa de Osos,AN,"Santa Rosa de Osos, AN",110
Antioquia,Santo Domingo,AN,"Santo Domingo, AN",111
Antioquia,Segovia,AN,"Segovia, AN",112
Antioquia,Sonson,AN,"Sonson, AN",113
Antioquia,Sopetran,AN,"Sopetran, AN",114
Antioquia,Tamesis,AN,"Tamesis, AN",115
Antioquia,Taraza,AN,"Taraza, AN",116
Antioquia,Tarso,AN,"Tarso, AN",117
Antioquia,Titiribi,AN,"Titiribi, AN",118
Antioquia,Toledo,AN,"Toledo, AN",119
Antioquia,Turbo,AN,"Turbo, AN",120
Antioquia,Uramita,AN,"Uramita, AN",121
Antioquia,Urrao,AN,"Urrao, AN",122
Antioquia,Valdivia,AN,"Valdivia, AN",123
Antioquia,Valparaiso,AN,"Valparaiso, AN",124
Antioquia,Vegachi,AN,"Vegachi, AN",125
Antioquia,Venecia,AN,"Venecia, AN",126
Antioquia,Vigia del Fuerte,AN,"Vigia del Fuerte, AN",127
Antioquia,Yali,AN,"Yali, AN",128
Antioquia,Yarumal,AN,"Yarumal, AN",129
Antioquia,Yolombo,AN,"Yolombo, AN",130
Antioquia,Yondo,AN,"Yondo, AN",131
Antioquia,Zaragoza,AN,"Zaragoza, AN",132
Arauca,Arauca,AR,"Arauca, AR",133
Arauca,Arauquita,AR,"Arauquita, AR",134
Arauca,Cravo Norte,AR,"Cravo Norte, AR",135
Arauca,Fortul,AR,"Fortul, AR",136
Arauca,Puerto Rondon,AR,"Puerto Rondon, AR",137
Arauca,Saravena,AR,"Saravena, AR",138
Arauca,Tame,AR,"Tame, AR",139
Atlantico,Baranoa,AT,"Baranoa, AT",140
Atlantico,Barranquilla,AT,"Barranquilla, AT",141
Atlantico,Campo de la Cruz,AT,"Campo de la Cruz, AT",142
Atlantico,Candelaria,AT,"Candelaria, AT",143
Atlantico,Galapa,AT,"Galapa, AT",144
Atlantico,Juan de Acosta,AT,"Juan de Acosta, AT",145
Atlantico,Luruaco,AT,"Luruaco, AT",146
Atlantico,Malambo,AT,"Malambo, AT",147
Atlantico,Manati,AT,"Manati, AT",148
Atlantico,Palmar de Varela,AT,"Palmar de Varela, AT",149
Atlantico,Piojo,AT,"Piojo, AT",150
Atlantico,Polonuevo,AT,"Polonuevo, AT",151
Atlantico,Ponedera,AT,"Ponedera, AT",152
Atlantico,Puerto Colombia,AT,"Puerto Colombia, AT",153
Atlantico,Repelon,AT,"Repelon, AT",154
Atlantico,Sabanagrande,AT,"Sabanagrande, AT",155
Atlantico,Sabanalarga,AT,"Sabanalarga, AT",156
Atlantico,Santa Lucia,AT,"Santa Lucia, AT",157
Atlantico,Santo Tomas,AT,"Santo Tomas, AT",158
Atlantico,Soledad,AT,"Soledad, AT",159
Atlantico,Suan,AT,"Suan, AT",160
Atlantico,Tubara,AT,"Tubara, AT",161
Atlantico,Usiacuri,AT,"Usiacuri, AT",162
Bolivar,Achi,BL,"Achi, BL",163
Bolivar,Altos del Rosario,BL,"Altos del Rosario, BL",164
Bolivar,Arjona,BL,"Arjona, BL",165
Bolivar,Barranco de Loba,BL,"Barranco de Loba, BL",166
Bolivar,Calamar,BL,"Calamar, BL",167
Bolivar,Cantagallo,BL,"Cantagallo, BL",168
Bolivar,Cartagena de Indias,BL,"Cartagena de Indias, BL",169
Bolivar,Cicuco,BL,"Cicuco, BL",170
Bolivar,Cordoba,BL,"Cordoba, BL",171
Bolivar,El Carmen de Bolivar,BL,"El Carmen de Bolivar, BL",172
Bolivar,El Guamo,BL,"El Guamo, BL",173
Bolivar,Hatillo de Loba,BL,"Hatillo de Loba, BL",174
Bolivar,Mahates,BL,"Mahates, BL",175
Bolivar,Margarita,BL,"Margarita, BL",176
Bolivar,Maria la Baja,BL,"Maria la Baja, BL",177
Bolivar,Mompos,BL,"Mompos, BL",178
Bolivar,Montecristo,BL,"Montecristo, BL",179
Bolivar,Morales,BL,"Morales, BL",180
Bolivar,Pinillos,BL,"Pinillos, BL",181
Bolivar,Rio Viejo,BL,"Rio Viejo, BL",182
Bolivar,San Estanislao de Kostka,BL,"San Estanislao de Kostka, BL",183
Bolivar,San Fernando,BL,"San Fernando, BL",184
Bolivar,San Jacinto,BL,"San Jacinto, BL",185
Bolivar,San Juan Nepomuceno,BL,"San Juan Nepomuceno, BL",186
Bolivar,San Martin de Loba,BL,"San Martin de Loba, BL",187
Bolivar,San Pablo,BL,"San Pablo, BL",188
Bolivar,Santa Catalina,BL,"Santa Catalina, BL",189
Bolivar,Santa Rosa,BL,"Santa Rosa, BL",190
Bolivar,Santa Rosa del Sur,BL,"Santa Rosa del Sur, BL",191
Bolivar,Simiti,BL,"Simiti, BL",192
Bolivar,Soplaviento,BL,"Soplaviento, BL",193
Bolivar,Talaigua Nuevo,BL,"Talaigua Nuevo, BL",194
Bolivar,Turbaco,BL,"Turbaco, BL",195
Bolivar,Turbana,BL,"Turbana, BL",196
Bolivar,Villanueva,BL,"Villanueva, BL",197
Bolivar,Zambrano,BL,"Zambrano, BL",198
Boyaca,Almeida,BY,"Almeida, BY",199
Boyaca,Aquitania,BY,"Aquitania, BY",200
Boyaca,Arcabuco,BY,"Arcabuco, BY",201
Boyaca,Belen,BY,"Belen, BY",202
Boyaca,Berbeo,BY,"Berbeo, BY",203
Boyaca,Beteitiva,BY,"Beteitiva, BY",204
Boyaca,Boavita,BY,"Boavita, BY",205
Boyaca,Boyaca,BY,"Boyaca, BY",206
Boyaca,Briceno,BY,"Briceno, BY",207
Boyaca,Buenavista,BY,"Buenavista, BY",208
Boyaca,Busbanza,BY,"Busbanza, BY",209
Boyaca,Caldas,BY,"Caldas, BY",210
Boyaca,Campohermoso,BY,"Campohermoso, BY",211
Boyaca,Cerinza,BY,"Cerinza, BY",212
Boyaca,Chinavita,BY,"Chinavita, BY",213
Boyaca,Chiquinquira,BY,"Chiquinquira, BY",214
Boyaca,Chiquiza,BY,"Chiquiza, BY",215
Boyaca,Chiscas,BY,"Chiscas, BY",216
Boyaca,Chita,BY,"Chita, BY",217
Boyaca,Chitaraque,BY,"Chitaraque, BY",218
Boyaca,Chivata,BY,"Chivata, BY",219
Boyaca,Chivor,BY,"Chivor, BY",220
Boyaca,Cienaga,BY,"Cienaga, BY",221
Boyaca,Combita,BY,"Combita, BY",222
Boyaca,Coper,BY,"Coper, BY",223
Boyaca,Corrales,BY,"Corrales, BY",224
Boyaca,Covarachia,BY,"Covarachia, BY",225
Boyaca,Cubara,BY,"Cubara, BY",226
Boyaca,Cucaita,BY,"Cucaita, BY",227
Boyaca,Cuitiva,BY,"Cuitiva, BY",228
Boyaca,Duitama,BY,"Duitama, BY",229
Boyaca,El Cocuy,BY,"El Cocuy, BY",230
Boyaca,El Espino,BY,"El Espino, BY",231
Boyaca,Firavitoba,BY,"Firavitoba, BY",232
Boyaca,Floresta,BY,"Floresta, BY",233
Boyaca,Gachantiva,BY,"Gachantiva, BY",234
Boyaca,Gameza,BY,"Gameza, BY",235
Boyaca,Garagoa,BY,"Garagoa, BY",236
Boyaca,Guacamayas,BY,"Guacamayas, BY",237
Boyaca,Guateque,BY,"Guateque, BY",238
Boyaca,Guayata,BY,"Guayata, BY",239
Boyaca,Guican,BY,"Guican, BY",240
Boyaca,Iza,BY,"Iza, BY",241
Boyaca,Jenesano,BY,"Jenesano, BY",242
Boyaca,Jerico,BY,"Jerico, BY",243
Boyaca,La Capilla,BY,"La Capilla, BY",244
Boyaca,La Uvita,BY,"La Uvita, BY",245
Boyaca,La Victoria,BY,"La Victoria, BY",246
Boyaca,Labranzagrande,BY,"Labranzagrande, BY",247
Boyaca,Macanal,BY,"Macanal, BY",248
Boyaca,Maripi,BY,"Maripi, BY",249
Boyaca,Miraflores,BY,"Miraflores, BY",250
Boyaca,Mongua,BY,"Mongua, BY",251
Boyaca,Mongui,BY,"Mongui, BY",252
Boyaca,Moniquira,BY,"Moniquira, BY",253
Boyaca,Motavita,BY,"Motavita, BY",254
Boyaca,Muzo,BY,"Muzo, BY",255
Boyaca,Nobsa,BY,"Nobsa, BY",256
Boyaca,Nuevo Colon,BY,"Nuevo Colon, BY",257
Boyaca,Oicata,BY,"Oicata, BY",258
Boyaca,Otanche,BY,"Otanche, BY",259
Boyaca,Pachavita,BY,"Pachavita, BY",260
Boyaca,Paez,BY,"Paez, BY",261
Boyaca,Paipa,BY,"Paipa, BY",262
Boyaca,Pajarito,BY,"Pajarito, BY",263
Boyaca,Panqueba,BY,"Panqueba, BY",264
Boyaca,Pauna,BY,"Pauna, BY",265
Boyaca,Paya,BY,"Paya, BY",266
Boyaca,Paz de Rio,BY,"Paz de Rio, BY",267
Boyaca,Pesca,BY,"Pesca, BY",268
Boyaca,Pisba,BY,"Pisba, BY",269
Boyaca,Puerto Boyaca,BY,"Puerto Boyaca, BY",270
Boyaca,Quipama,BY,"Quipama, BY",271
Boyaca,Ramiriqui,BY,"Ramiriqui, BY",272
Boyaca,Raquira,BY,"Raquira, BY",273
Boyaca,Rondon,BY,"Rondon, BY",274
Boyaca,Saboya,BY,"Saboya, BY",275
Boyaca,Sachica,BY,"Sachica, BY",276
Boyaca,Samaca,BY,"Samaca, BY",277
Boyaca,San Eduardo,BY,"San Eduardo, BY",278
Boyaca,San Jose de Pare,BY,"San Jose de Pare, BY",279
Boyaca,San Luis de Gaceno,BY,"San Luis de Gaceno, BY",280
Boyaca,San Mateo,BY,"San Mateo, BY",281
Boyaca,San Miguel de Sema,BY,"San Miguel de Sema, BY",282
Boyaca,San Pablo de Borbur,BY,"San Pablo de Borbur, BY",283
Boyaca,Santa Maria,BY,"Santa Maria, BY",284
Boyaca,Santa Rosa de Viterbo,BY,"Santa Rosa de Viterbo, BY",285
Boyaca,Santa Sofia,BY,"Santa Sofia, BY",286
Boyaca,Santana,BY,"Santana, BY",287
Boyaca,Sativanorte,BY,"Sativanorte, BY",288
Boyaca,Sativasur,BY,"Sativasur, BY",289
Boyaca,Siachoque,BY,"Siachoque, BY",290
Boyaca,Soata,BY,"Soata, BY",291
Boyaca,Socha,BY,"Socha, BY",292
Boyaca,Socota,BY,"Socota, BY",293
Boyaca,Sogamoso,BY,"Sogamoso, BY",294
Boyaca,Somondoco,BY,"Somondoco, BY",295
Boyaca,Sora,BY,"Sora, BY",296
Boyaca,Soraca,BY,"Soraca, BY",297
Boyaca,Sotaquira,BY,"Sotaquira, BY",298
Boyaca,Susacon,BY,"Susacon, BY",299
Boyaca,Sutamarchan,BY,"Sutamarchan, BY",300
Boyaca,Sutatenza,BY,"Sutatenza, BY",301
Boyaca,Tasco,BY,"Tasco, BY",302
Boyaca,Tenza,BY,"Tenza, BY",303
Boyaca,Tibana,BY,"Tibana, BY",304
Boyaca,Tibasosa,BY,"Tibasosa, BY",305
Boyaca,Tinjaca,BY,"Tinjaca, BY",306
Boyaca,Tipacoque,BY,"Tipacoque, BY",307
Boyaca,Toca,BY,"Toca, BY",308
Boyaca,Togui,BY,"Togui, BY",309
Boyaca,Topaga,BY,"Topaga, BY",310
Boyaca,Tota,BY,"Tota, BY",311
Boyaca,Tunja,BY,"Tunja, BY",312
Boyaca,Tunungua,BY,"Tunungua, BY",313
Boyaca,Turmeque,BY,"Turmeque, BY",314
Boyaca,Tuta,BY,"Tuta, BY",315
Boyaca,Tutaza,BY,"Tutaza, BY",316
Boyaca,Umbita,BY,"Umbita, BY",317
Boyaca,Ventaquemada,BY,"Ventaquemada, BY",318
Boyaca,Villa de Leyva,BY,"Villa de Leyva, BY",319
Boyaca,Viracacha,BY,"Viracacha, BY",320
Boyaca,Zetaquira,BY,"Zetaquira, BY",321
Caldas,Aguadas,CL,"Aguadas, CL",322
Caldas,Anserma,CL,"Anserma, CL",323
Caldas,Aranzazu,CL,"Aranzazu, CL",324
Caldas,Belalcazar,CL,"Belalcazar, CL",325
Caldas,Chinchina,CL,"Chinchina, CL",326
Caldas,Filadelfia,CL,"Filadelfia, CL",327
Caldas,La Dorada,CL,"La Dorada, CL",328
Caldas,La Merced,CL,"La Merced, CL",329
Caldas,Manizales,CL,"Manizales, CL",330
Caldas,Manzanares,CL,"Manzanares, CL",331
Caldas,Marmato,CL,"Marmato, CL",332
Caldas,Marquetalia,CL,"Marquetalia, CL",333
Caldas,Marulanda,CL,"Marulanda, CL",334
Caldas,Neira,CL,"Neira, CL",335
Caldas,Pacora,CL,"Pacora, CL",336
Caldas,Palestina,CL,"Palestina, CL",337
Caldas,Pensilvania,CL,"Pensilvania, CL",338
Caldas,Riosucio,CL,"Riosucio, CL",339
Caldas,Risaralda,CL,"Risaralda, CL",340
Caldas,Salamina,CL,"Salamina, CL",341
Caldas,Samana,CL,"Samana, CL",342
Caldas,Supia,CL,"Supia, CL",343
Caldas,Victoria,CL,"Victoria, CL",344
Caldas,Villamaria,CL,"Villamaria, CL",345
Caldas,Viterbo,CL,"Viterbo, CL",346
Caqueta,Albania,CQ,"Albania, CQ",347
Caqueta,Belen de los Andaquies,CQ,"Belen de los Andaquies, CQ",348
Caqueta,Cartagena del Chaira,CQ,"Cartagena del Chaira, CQ",349
Caqueta,Curillo,CQ,"Curillo, CQ",350
Caqueta,El Doncello,CQ,"El Doncello, CQ",351
Caqueta,El Paujil,CQ,"El Paujil, CQ",352
Caqueta,Florencia,CQ,"Florencia, CQ",353
Caqueta,La Montanita,CQ,"La Montanita, CQ",354
Caqueta,Milan,CQ,"Milan, CQ",355
Caqueta,Morelia,CQ,"Morelia, CQ",356
Caqueta,Puerto Rico,CQ,"Puerto Rico, CQ",357
Caqueta,San Jose del Fragua,CQ,"San Jose del Fragua, CQ",358
Caqueta,San Vicente del Caguan,CQ,"San Vicente del Caguan, CQ",359
Caqueta,Solano,CQ,"Solano, CQ",360
Caqueta,Valparaiso,CQ,"Valparaiso, CQ",361
Casanare,Aguazul,CS,"Aguazul, CS",362
Casanare,Chameza,CS,"Chameza, CS",363
Casanare,Hato Corozal,CS,"Hato Corozal, CS",364
Casanare,La Salina,CS,"La Salina, CS",365
Casanare,Mani,CS,"Mani, CS",366
Casanare,Monterrey,CS,"Monterrey, CS",367
Casanare,Nunchia,CS,"Nunchia, CS",368
Casanare,Orocue,CS,"Orocue, CS",369
Casanare,Paz de Ariporo,CS,"Paz de Ariporo, CS",370
Casanare,Pore,CS,"Pore, CS",371
Casanare,Recetor,CS,"Recetor, CS",372
Casanare,Sabanalarga,CS,"Sabanalarga, CS",373
Casanare,Sacama,CS,"Sacama, CS",374
Casanare,San Luis de Palenque,CS,"San Luis de Palenque, CS",375
Casanare,Tamara,CS,"Tamara, CS",376
Casanare,Tauramena,CS,"Tauramena, CS",377
Casanare,Trinidad,CS,"Trinidad, CS",378
Casanare,Villanueva,CS,"Villanueva, CS",379
Casanare,Yopal,CS,"Yopal, CS",380
Cauca,Almaguer,CA,"Almaguer, CA",381
Cauca,Argelia,CA,"Argelia, CA",382
Cauca,Balboa,CA,"Balboa, CA",383
Cauca,Bolivar,CA,"Bolivar, CA",384
Cauca,Buenos Aires,CA,"Buenos Aires, CA",385
Cauca,Cajibio,CA,"Cajibio, CA",386
Cauca,Caldono,CA,"Caldono, CA",387
Cauca,Caloto,CA,"Caloto, CA",388
Cauca,Corinto,CA,"Corinto, CA",389
Cauca,El Tambo,CA,"El Tambo, CA",390
Cauca,Florencia,CA,"Florencia, CA",391
Cauca,Guapi,CA,"Guapi, CA",392
Cauca,Inza,CA,"Inza, CA",393
Cauca,Jambalo,CA,"Jambalo, CA",394
Cauca,La Sierra,CA,"La Sierra, CA",395
Cauca,La Vega,CA,"La Vega, CA",396
Cauca,Lopez de Micay,CA,"Lopez de Micay, CA",397
Cauca,Mercaderes,CA,"Mercaderes, CA",398
Cauca,Miranda,CA,"Miranda, CA",399
Cauca,Morales,CA,"Morales, CA",400
Cauca,Padilla,CA,"Padilla, CA",401
Cauca,Paez,CA,"Paez, CA",402
Cauca,Patia,CA,"Patia, CA",403
Cauca,Piendamo,CA,"Piendamo, CA",404
Cauca,Popayan,CA,"Popayan, CA",405
Cauca,Puerto Tejada,CA,"Puerto Tejada, CA",406
Cauca,Purace,CA,"Purace, CA",407
Cauca,Rosas,CA,"Rosas, CA",408
Cauca,San Sebastian,CA,"San Sebastian, CA",409
Cauca,Santa Rosa,CA,"Santa Rosa, CA",410
Cauca,Santander de Quilichao,CA,"Santander de Quilichao, CA",411
Cauca,Silvia,CA,"Silvia, CA",412
Cauca,Sotara,CA,"Sotara, CA",413
Cauca,Suarez,CA,"Suarez, CA",414
Cauca,Timbio,CA,"Timbio, CA",415
Cauca,Timbiqui,CA,"Timbiqui, CA",416
Cauca,Toribio,CA,"Toribio, CA",417
Cauca,Totoro,CA,"Totoro, CA",418
Cesar,Aguachica,CE,"Aguachica, CE",419
Cesar,Agustin Codazzi,CE,"Agustin Codazzi, CE",420
Cesar,Astrea,CE,"Astrea, CE",421
Cesar,Becerril,CE,"Becerril, CE",422
Cesar,Bosconia,CE,"Bosconia, CE",423
Cesar,Chimichagua,CE,"Chimichagua, CE",424
Cesar,Chiriguana,CE,"Chiriguana, CE",425
Cesar,Curumani,CE,"Curumani, CE",426
Cesar,El Copey,CE,"El Copey, CE",427
Cesar,El Paso,CE,"El Paso, CE",428
Cesar,Gamarra,CE,"Gamarra, CE",429
Cesar,Gonzalez,CE,"Gonzalez, CE",430
Cesar,La Gloria,CE,"La Gloria, CE",431
Cesar,La Jagua de Ibirico,CE,"La Jagua de Ibirico, CE",432
Cesar,La Paz,CE,"La Paz, CE",433
Cesar,Manaure,CE,"Manaure, CE",434
Cesar,Pailitas,CE,"Pailitas, CE",435
Cesar,Pelaya,CE,"Pelaya, CE",436
Cesar,Rio de Oro,CE,"Rio de Oro, CE",437
Cesar,San Alberto,CE,"San Alberto, CE",438
Cesar,San Diego,CE,"San Diego, CE",439
Cesar,San Martin,CE,"San Martin, CE",440
Cesar,Tamalameque,CE,"Tamalameque, CE",441
Cesar,Valledupar,CE,"Valledupar, CE",442
Choco,Acandi,CH,"Acandi, CH",443
Choco,Alto Baudo,CH,"Alto Baudo, CH",444
Choco,Bagado,CH,"Bagado, CH",445
Choco,Bahia Solano,CH,"Bahia Solano, CH",446
Choco,Bajo Baudo,CH,"Bajo Baudo, CH",447
Choco,Bojaya,CH,"Bojaya, CH",448
Choco,Condoto,CH,"Condoto, CH",449
Choco,El Canton del San Pablo,CH,"El Canton del San Pablo, CH",450
Choco,El Carmen de Atrato,CH,"El Carmen de Atrato, CH",451
Choco,El Litoral del San Juan,CH,"El Litoral del San Juan, CH",452
Choco,Istmina,CH,"Istmina, CH",453
Choco,Jurado,CH,"Jurado, CH",454
Choco,Lloro,CH,"Lloro, CH",455
Choco,Novita,CH,"Novita, CH",456
Choco,Nuqui,CH,"Nuqui, CH",457
Choco,Quibdo,CH,"Quibdo, CH",458
Choco,Riosucio,CH,"Riosucio, CH",459
Choco,San Jose del Palmar,CH,"San Jose del Palmar, CH",460
Choco,Sipi,CH,"Sipi, CH",461
Choco,Tado,CH,"Tado, CH",462
Choco,Unguia,CH,"Unguia, CH",463
Cordoba,Ayapel,CO,"Ayapel, CO",464
Cordoba,Buenavista,CO,"Buenavista, CO",465
Cordoba,Canalete,CO,"Canalete, CO",466
Cordoba,Cerete,CO,"Cerete, CO",467
Cordoba,Chima,CO,"Chima, CO",468
Cordoba,Chinu,CO,"Chinu, CO",469
Cordoba,Cienaga de Oro,CO,"Cienaga de Oro, CO",470
Cordoba,Los Cordobas,CO,"Los Cordobas, CO",471
Cordoba,Momil,CO,"Momil, CO",472
Cordoba,Monitos,CO,"Monitos, CO",473
Cordoba,Montelibano,CO,"Montelibano, CO",474
Cordoba,Monteria,CO,"Monteria, CO",475
Cordoba,Planeta Rica,CO,"Planeta Rica, CO",476
Cordoba,Pueblo Nuevo,CO,"Pueblo Nuevo, CO",477
Cordoba,Puerto Escondido,CO,"Puerto Escondido, CO",478
Cordoba,Puerto Libertador,CO,"Puerto Libertador, CO",479
Cordoba,Purisima,CO,"Purisima, CO",480
Cordoba,San Andres de Sotavento,CO,"San Andres de Sotavento, CO",481
Cordoba,San Antero,CO,"San Antero, CO",482
Cordoba,San Bernardino de Sahagun,CO,"San Bernardino de Sahagun, CO",483
Cordoba,San Bernardo del Viento,CO,"San Bernardo del Viento, CO",484
Cordoba,San Carlos,CO,"San Carlos, CO",485
Cordoba,San Pelayo,CO,"San Pelayo, CO",486
Cordoba,Santa Cruz de Lorica,CO,"Santa Cruz de Lorica, CO",487
Cordoba,Tierralta,CO,"Tierralta, CO",488
Cordoba,Valencia,CO,"Valencia, CO",489
Cundinamarca,Agua de Dios,CU,"Agua de Dios, CU",490
Cundinamarca,Alban,CU,"Alban, CU",491
Cundinamarca,Anapoima,CU,"Anapoima, CU",492
Cundinamarca,Anolaima,CU,"Anolaima, CU",493
Cundinamarca,Apulo,CU,"Apulo, CU",494
Cundinamarca,Arbelaez,CU,"Arbelaez, CU",495
Cundinamarca,Beltran,CU,"Beltran, CU",496
Cundinamarca,Bituima,CU,"Bituima, CU",497
Cundinamarca,Bojaca,CU,"Bojaca, CU",498
Cundinamarca,Cabrera,CU,"Cabrera, CU",499
Cundinamarca,Cachipay,CU,"Cachipay, CU",500
Cundinamarca,Cajica,CU,"Cajica, CU",501
Cundinamarca,Caparrapi,CU,"Caparrapi, CU",502
Cundinamarca,Caqueza,CU,"Caqueza, CU",503
Cundinamarca,Carmen de Carupa,CU,"Carmen de Carupa, CU",504
Cundinamarca,Chaguani,CU,"Chaguani, CU",505
Cundinamarca,Chia,CU,"Chia, CU",506
Cundinamarca,Chipaque,CU,"Chipaque, CU",507
Cundinamarca,Choachi,CU,"Choachi, CU",508
Cundinamarca,Choconta,CU,"Choconta, CU",509
Cundinamarca,Cogua,CU,"Cogua, CU",510
