Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Tests	Tests_per_capita	Confirmed_daily	Deaths_daily
Swaziland	9	0	0	9	7.92e-06	0.0	45	18	11.25	3.96e-05	1.584e-05	9.9e-06	NA	NA	0	0
Liberia	6	0	0	6	1.25e-06	0.0	30	12	7.5	6.25e-06	2.5e-06	1.5625e-06	NA	NA	3	0
Sudan	7	2	2	3	1.7e-07	5e-08	666.666666667	307.692307692	200	1.66666666667e-05	7.69230769231e-06	5e-06	NA	NA	0	0
Guinea	30	0	0	30	2.42e-06	0.0	150	60	37.5	1.21e-05	4.84e-06	3.025e-06	NA	NA	8	0
United Republic of Tanzania	20	1	1	18	3.6e-07	2e-08	333.333333333	153.846153846	100	6.66666666667e-06	3.07692307692e-06	2e-06	NA	NA	1	0
Republic of the Congo	19	0	0	19	3.62e-06	0.0	95	38	23.75	1.81e-05	7.24e-06	4.525e-06	NA	NA	0	0
Democratic Republic of the Congo	109	9	3	97	1.3e-06	1.1e-07	3000	1384.61538462	900	3.66666666667e-05	1.69230769231e-05	1.1e-05	NA	NA	11	1
Rwanda	82	0	0	82	6.67e-06	0.0	410	164	102.5	3.335e-05	1.334e-05	8.3375e-06	NA	NA	7	0
Somalia	5	0	1	4	3.3e-07	0.0	25	10	6.25	1.65e-06	6.6e-07	4.125e-07	NA	NA	0	0
Ivory Coast	190	1	9	180	7.58e-06	4e-08	333.333333333	153.846153846	100	1.33333333333e-05	6.15384615385e-06	4e-06	NA	NA	11	0
Nigeria	174	2	9	163	8.9e-07	1e-08	666.666666667	307.692307692	200	3.33333333333e-06	1.53846153846e-06	1e-06	NA	NA	39	0
Cameroon	233	6	10	217	9.24e-06	2.4e-07	2000	923.076923077	600	8e-05	3.69230769231e-05	2.4e-05	NA	NA	40	0
Burkina Faso	282	16	46	220	1.428e-05	8.1e-07	5333.33333333	2461.53846154	1600	0.00027	0.000124615384615	8.1e-05	NA	NA	21	2
Benin	13	0	1	12	1.13e-06	0.0	65	26	16.25	5.65e-06	2.26e-06	1.4125e-06	NA	NA	4	0
Ghana	195	5	31	159	6.55e-06	1.7e-07	1666.66666667	769.230769231	500	5.66666666667e-05	2.61538461538e-05	1.7e-05	NA	NA	34	0
Algeria	847	58	61	728	2.006e-05	1.37e-06	19333.3333333	8923.07692308	5800	0.000456666666667	0.000210769230769	0.000137	NA	NA	131	14
Zambia	36	0	0	36	2.07e-06	0.0	180	72	45	1.035e-05	4.14e-06	2.5875e-06	NA	NA	1	0
Cape Verde	6	1	0	5	1.103e-05	1.84e-06	333.333333333	153.846153846	100	0.000613333333333	0.000283076923077	0.000184	NA	NA	0	0
Togo	36	2	10	24	4.56e-06	2.5e-07	666.666666667	307.692307692	200	8.33333333333e-05	3.84615384615e-05	2.5e-05	NA	NA	2	1
Zimbabwe	8	1	0	7	5.5e-07	7e-08	333.333333333	153.846153846	100	2.33333333333e-05	1.07692307692e-05	7e-06	NA	NA	0	0
Senegal	190	1	45	144	1.198e-05	6e-08	333.333333333	153.846153846	100	2e-05	9.23076923077e-06	6e-06	NA	NA	15	1
Sierra Leone	2	0	0	2	2.6e-07	0.0	10	4	2.5	1.3e-06	5.2e-07	3.25e-07	NA	NA	1	0
Eritrea	15	0	0	15	3.35e-06	0.0	75	30	18.75	1.675e-05	6.7e-06	4.1875e-06	NA	NA	0	0
Libya	10	0	0	10	1.5e-06	0.0	50	20	12.5	7.5e-06	3e-06	1.875e-06	NA	NA	0	0
Gambia	4	1	2	1	1.75e-06	4.4e-07	333.333333333	153.846153846	100	0.000146666666667	6.76923076923e-05	4.4e-05	NA	NA	0	0
Central African Republic	3	0	0	3	6.4e-07	0.0	15	6	3.75	3.2e-06	1.28e-06	8e-07	NA	NA	0	0
Mauritius	161	6	0	155	0.00012724	4.74e-06	2000	923.076923077	600	0.00158	0.000729230769231	0.000474	NA	NA	18	1
Morocco	654	39	29	586	1.815e-05	1.08e-06	13000	6000	3900	0.00036	0.000166153846154	0.000108	NA	NA	37	3
Mauritania	6	1	2	3	1.36e-06	2.3e-07	333.333333333	153.846153846	100	7.66666666667e-05	3.53846153846e-05	2.3e-05	NA	NA	0	0
Gabon	18	1	0	17	8.49e-06	4.7e-07	333.333333333	153.846153846	100	0.000156666666667	7.23076923077e-05	4.7e-05	NA	NA	2	0
Guinea-Bissau	9	0	0	9	4.8e-06	0.0	45	18	11.25	2.4e-05	9.6e-06	6e-06	NA	NA	1	0
Mali	31	3	0	28	1.62e-06	1.6e-07	1000	461.538461538	300	5.33333333333e-05	2.46153846154e-05	1.6e-05	NA	NA	3	1
Namibia	14	0	2	12	5.72e-06	0.0	70	28	17.5	2.86e-05	1.144e-05	7.15e-06	NA	NA	3	0
Seychelles	10	0	0	10	0.00010335	0.0	50	20	12.5	0.00051675	0.0002067	0.0001291875	NA	NA	0	0
Angola	8	2	1	5	2.6e-07	6e-08	666.666666667	307.692307692	200	2e-05	9.23076923077e-06	6e-06	NA	NA	1	0
Chad	7	0	0	7	4.5e-07	0.0	35	14	8.75	2.25e-06	9e-07	5.625e-07	NA	NA	0	0
Ethiopia	29	0	2	27	2.7e-07	0.0	145	58	36.25	1.35e-06	5.4e-07	3.375e-07	NA	NA	3	0
Egypt	779	52	179	548	7.91e-06	5.3e-07	17333.3333333	8000	5200	0.000176666666667	8.15384615385e-05	5.3e-05	NA	NA	69	6
Equatorial Guinea	15	0	1	14	1.146e-05	0.0	75	30	18.75	5.73e-05	2.292e-05	1.4325e-05	NA	NA	3	0
South Africa	1380	5	50	1325	2.388e-05	9e-08	1666.66666667	769.230769231	500	3e-05	1.38461538462e-05	9e-06	44292	7.54e-4	27	0
Tunisia	423	12	5	406	3.658e-05	1.04e-06	4000	1846.15384615	1200	0.000346666666667	0.00016	0.000104	NA	NA	29	2
Djibouti	33	0	0	33	3.441e-05	0.0	165	66	41.25	0.00017205	6.882e-05	4.30125e-05	NA	NA	3	0
Mozambique	10	0	0	10	3.4e-07	0.0	50	20	12.5	1.7e-06	6.8e-07	4.25e-07	NA	NA	2	0
Uganda	44	0	0	44	1.03e-06	0.0	220	88	55	5.15e-06	2.06e-06	1.2875e-06	NA	NA	0	0
Burundi	2	0	0	2	1.8e-07	0.0	10	4	2.5	9e-07	3.6e-07	2.25e-07	NA	NA	0	0
Kenya	81	1	3	77	1.58e-06	2e-08	333.333333333	153.846153846	100	6.66666666667e-06	3.07692307692e-06	2e-06	NA	NA	22	0
Niger	74	5	0	69	3.3e-06	2.2e-07	1666.66666667	769.230769231	500	7.33333333333e-05	3.38461538462e-05	2.2e-05	NA	NA	47	2
Botswana	4	1	0	3	1.77e-06	4.4e-07	333.333333333	153.846153846	100	0.000146666666667	6.76923076923e-05	4.4e-05	NA	NA	0	0
