Name	Cases	Cases_per_capita	Total_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
Luxembourg	0.0	0.0	23.505	3.868e-05	0.001	0.0	0.138	2.3e-07
Luxembourg	0.0	0.0	23.505	3.868e-05	0.001	0.0	0.139	2.3e-07
Luxembourg	0.0	0.0	23.505	3.868e-05	0.001	0.0	0.14	2.3e-07
Luxembourg	0.0	0.0	23.505	3.868e-05	0.0	0.0	0.14	2.3e-07
Luxembourg	0.0	0.0	23.505	3.868e-05	0.0	0.0	0.14	2.3e-07
Luxembourg	0.0	0.0	23.505	3.868e-05	0.0	0.0	0.141	2.3e-07
Luxembourg	0.0	0.0	23.505	3.868e-05	0.0	0.0	0.141	2.3e-07
Luxembourg	0.0	0.0	23.505	3.868e-05	0.0	0.0	0.141	2.3e-07
Cape Verde	0.931	1.71e-06	12.579	2.313e-05	0.005	1e-08	0.016	3e-08
Andorra	0.001	1e-08	0.377	4.89e-06	0.0	0.0	0.002	3e-08
Ecuador	25.187	1.47e-06	18562.767	0.00108654	1.511	9e-08	104.878	6.14e-06
Bangladesh	14603.661	9.051e-05	1609772.829	0.00997653	451.59	2.8e-06	7575.93	4.695e-05
Brunei	0.119	2.8e-07	11.274	2.628e-05	0.003	1e-08	0.05	1.2e-07
El Salvador	126.292	1.967e-05	1880.155	0.00029283	0.736	1.1e-07	3.031	4.7e-07
Chile	60.54	3.23e-06	22233.424	0.0011871	2.815	1.5e-07	121.958	6.51e-06
Haiti	389.698	3.503e-05	5263.595	0.00047321	1.954	1.8e-07	6.886	6.2e-07
Belize	0.507	1.32e-06	4.787	1.25e-05	0.001	0.0	0.003	1e-08
Sierra Leone	126.258	1.65e-05	388.874	5.083e-05	0.015	0.0	0.015	0.0
Poland	311.168	8.19e-06	91172.17	0.00240062	13.816	3.6e-07	489.903	1.29e-05
Namibia	9.569	3.91e-06	339.309	0.00013859	0.126	5e-08	1.049	4.3e-07
Moldova	7.052	1.99e-06	777.397	0.00021924	0.218	6e-08	3.659	1.03e-06
Morocco	168.026	4.66e-06	82444.845	0.00228828	8.401	2.3e-07	459.72	1.276e-05
Guinea-Bissau	12.126	6.47e-06	90.188	4.812e-05	0.01	1e-08	0.026	1e-08
United Republic of Tanzania	6842.547	0.0001215	168600.352	0.0029937	64.867	1.15e-06	422.869	7.51e-06
Grenada	0.042	3.8e-07	0.448	4.02e-06	0.0	0.0	0.0	0.0
Chad	733.875	4.741e-05	10925.433	0.00070588	4.279	2.8e-07	17.613	1.14e-06
Kosovo	6.318	3.42e-06	187.323	0.00010151	0.071	4e-08	0.525	2.8e-07
Uzbekistan	2014.975	6.114e-05	59746.341	0.00181295	22.493	6.8e-07	167.29	5.08e-06
Djibouti	2.658	2.77e-06	44.594	4.65e-05	0.018	2e-08	0.085	9e-08
Antigua and Barbuda	0.012	1.3e-07	0.537	5.58e-06	0.0	0.0	0.002	2e-08
Dominica	0.017	2.4e-07	0.185	2.58e-06	0.0	0.0	0.0	0.0
Colombia	957.207	1.928e-05	154535.787	0.00311259	31.907	6.4e-07	786.186	1.583e-05
Burundi	269.428	2.411e-05	829.838	7.426e-05	0.032	0.0	0.032	0.0
Fiji	2.391	2.71e-06	35.597	4.029e-05	0.014	2e-08	0.057	6e-08
Barbados	0.206	7.2e-07	4.19	1.462e-05	0.002	1e-08	0.009	3e-08
Somalia	485.929	3.238e-05	11973.282	0.00079779	4.607	3.1e-07	30.03	2e-06
Madagascar	2172.394	8.272e-05	29342.197	0.00111727	10.892	4.1e-07	38.389	1.46e-06
Curacao	0.041	2.6e-07	1.446	9.05e-06	0.001	0.0	0.004	3e-08
Bhutan	0.221	2.9e-07	35.679	4.729e-05	0.007	1e-08	0.182	2.4e-07
Sudan	2337.19	5.591e-05	101253.113	0.00242223	36.189	8.7e-07	341.984	8.18e-06
